origen,destino,nombre_calle,distancia,direccion,factor_trafico
12106124787,12106124788,Sin nombre,66.07,norte-oeste,1.0
12106124788,6145873709,Avenida Hincapié,171.05,norte-este,1.0
12106124788,12106124787,Sin nombre,66.07,sur-este,1.0
12182615081,12182615083,Sin nombre,7.86,sur-este,1.0
12182615083,12182615081,Sin nombre,7.86,norte-oeste,1.0
12182615083,528221928,15 Avenida,211.37,sur-oeste,1.0
12182615084,12182615094,Sin nombre,10.01,norte-oeste,1.0
12182615094,528171278,Avenida Hincapié,73.73,norte-este,1.0
12182615094,12182615084,Sin nombre,10.01,sur-este,1.0
12182615094,528171280,Avenida Hincapié,107.44,sur-oeste,1.0
12194576841,528148701,"['7a Calle', '2a Avenida']",81.14,norte-este,1.0
12194576841,429839894,7a Calle,65.21,norte-oeste,1.0
12194576841,12310652523,Sin nombre,160.09,sur-oeste,1.0
12196993484,528222646,7a Calle,13.86,norte-oeste,1.0
12196993485,528222540,7a Calle A,12.74,norte-oeste,1.0
12310652523,3820014887,Avenida Las Américas,82.16,norte-este,1.0
12310652523,12194576841,Sin nombre,160.09,norte-este,1.0
12318905768,616286902,6a Avenida A,191.76,norte-este,1.0
12318905768,481805122,14 Calle,99.84,sur-este,1.0
12318905768,3820122597,14 Calle,35.33,norte-oeste,1.0
12636185688,410443328,14 Calle,9.99,norte-oeste,1.0
12636185688,3820122597,14 Calle,37.92,sur-este,1.0
12636185688,12636194325,Sin nombre,20.05,sur-oeste,1.0
12636194325,9716924055,6a Avenida,69.04,sur-oeste,1.0
13206194903,2026383064,13 Calle,54.46,norte-oeste,1.0
13206194903,13206194908,Sin nombre,96.69,sur-este,1.0
13206194908,13206194903,Sin nombre,96.69,norte-oeste,1.0
