origen,destino,nombre_calle,distancia,direccion,factor_trafico
412198045,479440997,Calle Montúfar,108.64,norte-oeste,1.0
412198057,412198043,11 Calle,70.06,norte-oeste,1.0
412198062,412198057,4a Avenida,141.33,norte-este,1.0
412198062,412198045,Calle Montúfar,69.64,norte-oeste,1.0
412198093,412198057,11 Calle,39.78,norte-oeste,1.0
412198254,1909302010,11 Calle,21.13,norte-oeste,1.0
412285320,410455814,15 Calle,105.54,norte-oeste,1.0
413315361,4066848948,"['Plaza Obelisco', 'Avenida Las Américas']",244.96,norte-este,1.0
429839894,4398381662,Avenida Las Américas,185.15,norte-este,1.0
429839894,12194576841,7a Calle,65.21,sur-este,1.0
429840030,611873524,9a Calle,50.41,norte-oeste,1.0
476530617,410447728,Avenida Hincapié,88.92,sur-este,1.0
476530617,6145873709,Sin nombre,72.28,sur-este,1.0
476530674,410447728,Sin nombre,179.21,sur-este,1.0
476530674,282481420,Boulevard Liberación,70.5,sur-este,1.0
476530754,12079442910,7a Avenida,147.84,norte-este,1.0
476530754,10858926469,Boulevard Liberación,127.84,norte-oeste,1.0
476530766,10858926469,Boulevard Liberación,299.34,norte-oeste,1.0
476530766,5397068453,Sin nombre,306.31,norte-oeste,1.0
479440905,479440921,5a Avenida,191.04,norte-este,1.0
479440905,479440908,14 Calle,65.82,sur-este,1.0
479440906,412197885,5a Avenida,11.99,norte-este,1.0
479440906,410462006,Calle Montúfar,129.46,sur-este,1.0
479440908,479440910,14 Calle,69.01,sur-este,1.0
479440908,790843467,5a Avenida A,191.05,norte-este,1.0
479440910,7127559418,6a Avenida,8.55,sur-este,1.0
479440910,410443328,14 Calle,6.06,sur-este,1.0
479440911,479440919,4a Avenida A,139.64,sur-oeste,1.0
479440911,315750150,Calle Montúfar,73.09,sur-este,1.0
479440912,726943232,14 Calle,74.2,sur-este,1.0
479440913,479440918,4a Avenida,139.61,sur-oeste,1.0
479440913,479440911,Calle Montúfar,71.48,sur-este,1.0
479440914,479440912,14 Calle,70.38,sur-este,1.0
479440915,479440913,Calle Montúfar,66.89,sur-este,1.0
479440915,412198045,3a Avenida,12.84,norte-este,1.0
