id,lat,lon,nombre,tipo,street_count,direccion
479440908,14.5987263,-90.5217992,Interseccion_82,interseccion,3,"5a Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440910,14.5986118,-90.5211689,Interseccion_83,interseccion,4,"6a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440911,14.6018981,-90.5225991,Interseccion_84,interseccion,3,"4a Avenida A, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440912,14.5989573,-90.5231694,Interseccion_85,interseccion,3,"4a Avenida A, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440913,14.6020166,-90.523252,Interseccion_86,interseccion,3,"4a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440914,14.5990666,-90.5238136,Interseccion_87,interseccion,3,"4a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440915,14.6021274,-90.523863,Interseccion_88,interseccion,4,"3a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440916,14.5991254,-90.524437,Interseccion_89,interseccion,4,"14 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440917,14.6008933,-90.5240985,Interseccion_90,interseccion,4,"3a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440918,14.60078,-90.5234765,Interseccion_91,interseccion,4,"13 Calle, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440919,14.6006634,-90.522836,Interseccion_92,interseccion,4,"4a Avenida A, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440921,14.6005234,-90.5220674,Interseccion_93,interseccion,4,"5a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440922,14.6003083,-90.5208824,Interseccion_94,interseccion,4,"6a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440924,14.5999971,-90.5191332,Interseccion_95,interseccion,4,"7a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440996,14.6028859,-90.5202411,Interseccion_96,interseccion,4,"6a Avenida, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479440997,14.6024256,-90.5248353,Interseccion_97,interseccion,3,"Calle Montúfar, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
479441026,14.6013299,-90.519456,Interseccion_98,interseccion,3,"Calle Montúfar, Cantón Tivoli, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805122,14.5982908,-90.5194427,Interseccion_99,interseccion,4,"7a Avenida, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805124,14.5979369,-90.5173405,Interseccion_100,interseccion,5,"14 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805126,14.5980665,-90.5172075,Interseccion_101,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805128,14.5983662,-90.5168316,Interseccion_102,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805137,14.5987705,-90.5170727,Interseccion_103,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
481805139,14.5984382,-90.5168173,Interseccion_104,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392098,14.6028851,-90.5163921,Interseccion_105,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392101,14.6030408,-90.51624,Interseccion_106,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392104,14.6025761,-90.5185133,Interseccion_107,interseccion,4,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392107,14.6022198,-90.5165226,Interseccion_108,interseccion,4,"11 Calle, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392110,14.6015431,-90.5165296,Interseccion_109,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392127,14.5973022,-90.5173615,Interseccion_110,interseccion,3,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
516392128,14.5971469,-90.5173902,Interseccion_111,interseccion,4,"Avenida Reforma, Ciudad de Guatemala, Departamento de Guatemala, Guatemala"
